title,company,link,id,upload_date,purge_date,status
Rare Disease Brand Manager - Metabolic,Astrazeneca,https://careers.astrazeneca.com//job/dubai/rare-disease-brand-manager-metabolic/7684/49196411072,49196411072,2023-05-23,2023-06-20,expired
Rare Disease Brand Manager - Complement,Astrazeneca,https://careers.astrazeneca.com//job/dubai/rare-disease-brand-manager-complement/7684/49196410976,49196410976,2023-05-23,2023-06-20,expired
Head of Submission Excellence - Int&#xB4;l Region,Sanofi,https://en.jobs.sanofi.com/job/sao-paulo/head-of-submission-excellence-int-l-region/20873/49353487312,49353487312,2023-05-25,,current
Patient Safety Specialist- Gulf Cluster,Novartis,https://www.novartis.com/careers/career-search/job-details/374879br/patient-safety-specialist-gulf-cluster,374879br,2023-05-31,2023-06-20,expired
"Value Access, Health Economics and Outcomes Research Manager",GSK,https://gsk.wd5.myworkdayjobs.com/en-us/GSKCareers/job/UAE---Dubai/Value-Generation-Medical-Access-Manager_372736,372736,2023-06-20,2023-06-22,expired
Market Access Manager Specialty/Oncology Gulf - Levant,Novartis,https://www.novartis.com/careers/career-search/job-details/376069br/market-access-manager-specialtyoncology-gulf-levant,376069br,2023-06-20,2023-06-22,expired
Field Market Access Manager &#x2013; Gulf,Astrazeneca,https://careers.astrazeneca.com//job/dubai/field-market-access-manager-gulf/7684/50504401264,50504401264,2023-06-20,2023-07-03,expired
GCC Brand Manager,Astrazeneca,https://careers.astrazeneca.com//job/jeddah/gcc-brand-manager/7684/50504401184,50504401184,2023-06-20,2023-07-03,expired
Medical Representative,Astrazeneca,https://careers.astrazeneca.com//job/dubai/medical-representative/7684/50280063104,50280063104,2023-06-20,2023-06-27,expired
Key Account Manager,Astrazeneca,https://careers.astrazeneca.com//job/abu-dhabi/key-account-manager/7684/50325233856,50325233856,2023-06-20,2023-06-29,expired
Medical Representative,Pfizer,https://pfizer.wd1.myworkdayjobs.com/ru-RU/PfizerCareers/job/United-Arab-Emirates---Dubai/Medical-Representative_4887752,4887752,2023-06-20,2023-07-08,expired
Medical Science Liaison,Pfizer,https://pfizer.wd1.myworkdayjobs.com/ru-RU/PfizerCareers/job/United-Arab-Emirates---Dubai/MSL_4887138,4887138,2023-06-20,2023-06-27,expired
Customer Service Coordinator,Pfizer,https://pfizer.wd1.myworkdayjobs.com/ru-RU/PfizerCareers/job/United-Arab-Emirates---Dubai/Customer-Service-Coordinator_4887134,4887134,2023-06-20,2023-06-22,expired
Channel & Content Partner (2 FTE across Middle East),Roche,https://careers.roche.com/global/en/job/ROCHGLOBAL202306114109EXTERNALENGLOBAL,ROCHGLOBAL202306114109EXTERNALENGLOBAL,2023-06-20,2023-06-28,expired
Customer Insights & Analytics Partner (2 FTE across Middle East),Roche,https://careers.roche.com/global/en/job/ROCHGLOBAL202306114110EXTERNALENGLOBAL,ROCHGLOBAL202306114110EXTERNALENGLOBAL,2023-06-20,2023-06-28,expired
Middle East Customer Experience & Omnichannel  Engagement Lead - Location is agnostic within Middle East Region,Roche,https://careers.roche.com/global/en/job/ROCHGLOBAL202306114011EXTERNALENGLOBAL,ROCHGLOBAL202306114011EXTERNALENGLOBAL,2023-06-20,2023-06-28,expired
Pharmacovigilance (PV) Specialist (outsourced),Roche,https://careers.roche.com/global/en/job/ROCHGLOBAL202306114000EXTERNALENGLOBAL,ROCHGLOBAL202306114000EXTERNALENGLOBAL,2023-06-20,2023-06-30,expired
Omnichannel Engagement Enabler (Location is agnostic within Middle East Region),Roche,https://careers.roche.com/global/en/job/ROCHGLOBAL202306114095EXTERNALENGLOBAL,ROCHGLOBAL202306114095EXTERNALENGLOBAL,2023-06-20,2023-06-28,expired
Affiliate Digital Enabler (4 FTE across Middle East),Roche,https://careers.roche.com/global/en/job/ROCHGLOBAL202306114105EXTERNALENGLOBAL,ROCHGLOBAL202306114105EXTERNALENGLOBAL,2023-06-20,2023-06-28,expired
Customer Engagement Operations Partner (location agnostic),Roche,https://careers.roche.com/global/en/job/ROCHGLOBAL202306114112EXTERNALENGLOBAL,ROCHGLOBAL202306114112EXTERNALENGLOBAL,2023-06-20,2023-06-28,expired
Rare Disease (RareD) Business Unit Director,Novo Nordisk,https://www.novonordisk.com/content/nncorp/global/en/careers/find-a-job/job-ad.281033.en_GB.html,281033.en_GB,2023-06-20,2023-06-27,expired
Alzheimer's Marketing Lead,Eli Lilly,https://lilly.wd5.myworkdayjobs.com/LLY/job/Uinted-Arab-Emirates-Dubai/Alzheimer-s-Marketing-Lead_R-50866-1,R-50866,2023-06-20,2023-06-30,expired
Commercial Trade Manager,Astrazeneca,https://careers.astrazeneca.com//job/dubai/commercial-trade-manager/7684/50827984304,50827984304,2023-06-27,2023-07-06,expired
Medical Representative,Astrazeneca,https://careers.astrazeneca.com//job/dubai/medical-representative/7684/50800145440,50800145440,2023-06-27,2023-07-06,expired
Government Affairs Manager &#x2013; Emerging Gulf,Astrazeneca,https://careers.astrazeneca.com//job/dubai/government-affairs-manager-emerging-gulf/7684/50783285328,50783285328,2023-06-27,2023-07-06,expired
